Give number of divisions for the quarter cylinder in r and theta directions:
A Cylinder Model wi     288  Elements
Plane strain
        288         325               ! Numbers of elements and nodes
       1.e0       0.3e0               ! Young's modulus, Poisson's raio
# Nodes:
        1    0.100000000000000e+01    0.000000000000000e+00
        2    0.997858923238603e+00    0.654031292301431e-01
        3    0.991444861373810e+00    0.130526192220052e+00
        4    0.980785280403230e+00    0.195090322016128e+00
        5    0.965925826289068e+00    0.258819045102521e+00
        6    0.946930129495106e+00    0.321439465303162e+00
        7    0.923879532511287e+00    0.382683432365090e+00
        8    0.896872741532688e+00    0.442288690219001e+00
        9    0.866025403784439e+00    0.500000000000000e+00
       10    0.831469612302545e+00    0.555570233019602e+00
       11    0.793353340291235e+00    0.608761429008721e+00
       12    0.751839807478977e+00    0.659345815100069e+00
       13    0.707106781186548e+00    0.707106781186547e+00
       14    0.659345815100069e+00    0.751839807478977e+00
       15    0.608761429008721e+00    0.793353340291235e+00
       16    0.555570233019602e+00    0.831469612302545e+00
       17    0.500000000000000e+00    0.866025403784439e+00
       18    0.442288690219001e+00    0.896872741532688e+00
       19    0.382683432365090e+00    0.923879532511287e+00
       20    0.321439465303162e+00    0.946930129495106e+00
       21    0.258819045102521e+00    0.965925826289068e+00
       22    0.195090322016128e+00    0.980785280403230e+00
       23    0.130526192220052e+00    0.991444861373810e+00
       24    0.654031292301431e-01    0.997858923238603e+00
       25    0.000000000000000e+00    0.100000000000000e+01
       26    0.108333333333333e+01    0.000000000000000e+00
       27    0.108101383350849e+01    0.708533899993217e-01
       28    0.107406526648829e+01    0.141403374905056e+00
       29    0.106251738710350e+01    0.211347848850806e+00
       30    0.104641964514649e+01    0.280387298861064e+00
       31    0.102584097361970e+01    0.348226087411758e+00
       32    0.100086949355389e+01    0.414573718395514e+00
       33    0.971612136660412e+00    0.479146081070585e+00
       34    0.938194187433142e+00    0.541666666666667e+00
       35    0.900758746661091e+00    0.601867752437902e+00
       36    0.859466118648838e+00    0.659491548092781e+00
       37    0.814493124768892e+00    0.714291299691741e+00
       38    0.766032346285426e+00    0.766032346285426e+00
       39    0.714291299691741e+00    0.814493124768892e+00
       40    0.659491548092781e+00    0.859466118648838e+00
       41    0.601867752437902e+00    0.900758746661091e+00
       42    0.541666666666667e+00    0.938194187433142e+00
       43    0.479146081070585e+00    0.971612136660412e+00
       44    0.414573718395514e+00    0.100086949355389e+01
       45    0.348226087411758e+00    0.102584097361970e+01
       46    0.280387298861064e+00    0.104641964514649e+01
       47    0.211347848850806e+00    0.106251738710350e+01
       48    0.141403374905056e+00    0.107406526648829e+01
       49    0.708533899993217e-01    0.108101383350849e+01
       50    0.000000000000000e+00    0.108333333333333e+01
       51    0.116666666666667e+01    0.000000000000000e+00
       52    0.116416874377837e+01    0.763036507685003e-01
       53    0.115668567160278e+01    0.152280557590060e+00
       54    0.114424949380377e+01    0.227605375685483e+00
       55    0.112691346400391e+01    0.301955552619608e+00
       56    0.110475181774429e+01    0.375012709520355e+00
       57    0.107785945459650e+01    0.446464004425938e+00
       58    0.104635153178814e+01    0.516003471922168e+00
       59    0.101036297108184e+01    0.583333333333333e+00
       60    0.970047881019636e+00    0.648165271856202e+00
       61    0.925578897006441e+00    0.710221667176841e+00
       62    0.877146442058807e+00    0.769236784283414e+00
       63    0.824957911384305e+00    0.824957911384305e+00
       64    0.769236784283414e+00    0.877146442058807e+00
       65    0.710221667176841e+00    0.925578897006441e+00
       66    0.648165271856202e+00    0.970047881019636e+00
       67    0.583333333333333e+00    0.101036297108184e+01
       68    0.516003471922168e+00    0.104635153178814e+01
       69    0.446464004425938e+00    0.107785945459650e+01
       70    0.375012709520355e+00    0.110475181774429e+01
       71    0.301955552619608e+00    0.112691346400391e+01
       72    0.227605375685483e+00    0.114424949380377e+01
       73    0.152280557590060e+00    0.115668567160278e+01
       74    0.763036507685003e-01    0.116416874377837e+01
       75    0.000000000000000e+00    0.116666666666667e+01
       76    0.125000000000000e+01    0.000000000000000e+00
       77    0.124732365404825e+01    0.817539115376788e-01
       78    0.123930607671726e+01    0.163157740275064e+00
       79    0.122598160050404e+01    0.243862902520160e+00
       80    0.120740728286134e+01    0.323523806378151e+00
       81    0.118366266186888e+01    0.401799331628952e+00
       82    0.115484941563911e+01    0.478354290456362e+00
       83    0.112109092691586e+01    0.552860862773752e+00
       84    0.108253175473055e+01    0.625000000000000e+00
       85    0.103933701537818e+01    0.694462791274503e+00
       86    0.991691675364044e+00    0.760951786260901e+00
       87    0.939799759348722e+00    0.824182268875086e+00
       88    0.883883476483184e+00    0.883883476483184e+00
       89    0.824182268875086e+00    0.939799759348722e+00
       90    0.760951786260901e+00    0.991691675364044e+00
       91    0.694462791274503e+00    0.103933701537818e+01
       92    0.625000000000000e+00    0.108253175473055e+01
       93    0.552860862773752e+00    0.112109092691586e+01
       94    0.478354290456362e+00    0.115484941563911e+01
       95    0.401799331628952e+00    0.118366266186888e+01
       96    0.323523806378151e+00    0.120740728286134e+01
       97    0.243862902520160e+00    0.122598160050404e+01
       98    0.163157740275064e+00    0.123930607671726e+01
